Neg,Pos,Stop,Foudingci
未意识到,繁荣,中,莫
贿赂,授予权利或方法,日,非
军队,欣赏,月,别
破坏,消除,年,不
受阻碍,难以置信地,人次,没
意外,平滑化,高低,无
迟延,有价值,大小,勿
懒惰,坚定,；,并非
关系到,优惠,、,别出
罪行,首次露面,。,别打
配错,肯定,，,别带
废物,激活,!,别动
唐突地,升任,#,别发
被惩罚,迷人,$,别烦
有过失,最合适,%,别放
收缩,迪莱特,&,别管
使加剧,发明物,',别开
无基金,无瑕疵地,(,别看
令人反感,专一,),别来
过高评价,协作,*,别理
熨烫衣物,更合适,+,别乱
逆地,合意人,",",别弄
未决审判,区别性,-,别惹
将封杀出局,能容纳,--,别是
造成浪费,勾结者,.,别说
失策,从事革命,..,别提
用钻研眼光地,好品质,...,别学
罢工,合作者,......,并不
淤塞,弹回,...................,不必
较正常价格多收,威望,./,不成
叛变,鼓励,.一,不出
生气,普罗斯珀,.数,不大
不合格折贴,奖励,.日,不当
免罪,轻视,/,不到
不可能存在,令人高兴事,//,不得
离间,成功地,0,不等
被扣留,最符合要求事物,1,不屌
不可立即兑现,使成为可能,2,不定
迫切,进步,3,不动
比转速快,创造者,4,不对
用于处理危机,良好祝愿,5,不多
阻挡,年长,6,不放
缺陷,热心地,7,不该
空转,一群赛马,8,不干
蔓延,区别地,9,不高
溶解力,卓越地,:,不搞
以轻视态度,情况好转,://,不给
申辩,受到优待,::,不够
无家可归者,解决,;,不管
破坏名誉,受欢迎,<,不行
驱逐,业绩,=,不好
隐藏,顺利地,>,不合
不足,强征,>>,不和
无法管束,乐观,?,不会
不生产,美好地,@,不及
原样,积极主动,A,不佳
悲伤,利益率,Lex,不见
溢缴款,恢复,[,不讲
担心,进展,\,不可
预设,令人兴奋事物,],不肯
不能挽回,得到,^,不快
无规律,成功者,_,不了
疾病,断然地,`,不理
不接受,增加自主权,exp,不利
使减轻,缓和,sub,不良
激烈争辩,同盟,sup,不灵
不适任,费尽心血,|,不买
